med,frequency
Aspirin Enteric Coated (Enteric Coated Aspirin)  81 MG PO QD,3
Aspirin Enteric Coated,3
Labetalol Hcl  200 MG PO BID,3
diuretics,3
Bumex,3
spironolactone,3
insulin and Lantus,3
 Amlodipine,3
Labetalol HCL ,3
 lovastatin ,3
 metoprolol,3
Novolin R,3
TOPROL ,3
 SIMVASTATIN ,3
ACETYLSALICYLIC ACID (,3
FENOFIBRATE,3
AMLODIPINE  10 MG PO QD 5/01/2122,3
DETEMIR,3
INSULIN ASPART 70/30 ,3
METOPROLO,3
insulin 70/30,3
insulin 70/30u 50u,3
Metformin Extended Release ,3
Metformin Extended Release,3
Insulin Aspart 70/30,3
Fenofibrate ,3
NPH/Insulin ,3
NPH/Insulin Aspart,3
Humalog insulin,3
back on his medications,3
PRAVASTATIN ,3
 PRAVASTATIN,3
HUMALOG,3
  NPH HUMULIN INSULIN ,3
HUMALOG INSULIN,3
Bayer ASA ,3
 Glucophage,3
Lispro insulin,3
add atenolol,3
Norvasc (AMLODIPINE,3
Glucotrol XL (GLIPIZIDE XL),3
Cozaar (LOSARTAN),3
  Lipitor ,3
Glucotrol Xl,3
      Glucotrol ,3
Glucotrol Xl (GLIPIZIDE Xl) ,3
ATENOLOL   100 MG ,3
 Hyzaar,3
Atorvastatin (Lipitor ) 40 MG PO QD,3
Metoprolol Tartrate (Lopressor) ,3
Clopidogrel (Plavix ),3
Insulin Regular Inj,3
Insulin Regular ,3
Metoprolol Tartrate (Lopressor ),3
Verapamil Hcl  120 MG PO TID ,3
 Verapamil,3
Insulin Glargine (Lantus )  25 UNITS SC QAM,3
Metoprolol Tartrate   50MG TABLET take 1 Tablet(s) PO BID ,3
     Metoprolol ,3
Lisinopril 5 MG (5MG TABLET take 1) PO QD ,3
Lipitor 20 mg,3
Lipitor (ATORVASTATIN) 20MG TABLET PO QHS ,3
Hydrochlorothiazide 25 MG PO QD ,3
Metoprolol TARTRATE 100 MG (100MG TABLET take 1) PO QD ,3
Lipitor 80 mg,3
Lisinopril to 40 mg QD,3
Metformin 850 mg,3
Avandia 4 mg QD,3
Avandia (ROSIGLITAZONE,3
Metoprolol 100 mg BID,3
LISINOPRIL 20MG 1 Tablet(s) PO QD,3
ECASA (ASPIRIN ENTERIC COATED) 81MG 1 Tablet(s) PO QD,3
GLUCOPHAGE (METFORMIN) 850MG 1 Tablet(s) PO BID,3
GLYBURIDE 1.25MG 1 Tablet(s) PO QD,3
ZOCOR (SIMVASTATIN),3
 HYDROCHLOROTHIAZIDE ,3
adalat.,3
"Aspirin,",3
 Lovastatin ,3
 Regular Insulin,3
"Enalapril Maleate 20MG, 1 Tablet(s) PO QD",3
"Metoprolol Tartrate 50MG, 1 Tablet(s) PO BID ",3
"Enalapril Maleate    20MG,  1 Tablet(s)  PO QD",3
"Metoprolol Tartrate    50MG,  1 Tablet(s)  PO BID ",3
Asa (ACETYLSALICYLIC Acid) ,3
 Asa,3
dyzide,3
 ATENOLOL  ,3
Dyazide  (TRIAMTERENE 37.5 Mg/hctz 25 Mg) ,3
Lipitor (ATORVASTATIN)   10MG TABLET take 1 Tablet(s) PO QD  ,3
Glucophage (METFORMIN)   500MG TABLET  PO BID,3
  Plavix ,3
HYDROCHLOROTHIAZIDE 2,3
 clopidogrel ,3
lisinopril. ,3
nitrates ,3
 SL NTG,3
 insluin,3
aspirin.,3
NPH insulin 30 units,3
 NPH insulin,3
lisnopril ,3
asa ,3
avandia ,3
Sliding scale insulin,3
      Asa ,3
 Lantus,3
Lisinopril. ,3
 lisin ,3
 lopressor ,3
 Acetylsalicylic Acid (Aspirin,3
Glucophage (metformin),3
    ASA ,3
 Pravachol.,3
10u R,3
AceI,3
LISINOPRIL   ,3
ACETYLSALICYLIC ACID ,3
AMLODIPINE ,3
LABETALOL HCL,3
 Glucotrol ,3
Glucotrol XL ,3
Gluctrol XL,3
 Zocor (SIMVASTATIN),3
glucotrol;,3
glucotrol.,3
Zocor (SIMVASTATIN,3
METFORMIN 500 MG,3
HYDROCHLOROTHIAZIDE ,3
Glucotrol Xl (GLIPIZIDE Xl),3
 toprol ,3
"lipitor,",3
medstoprol,3
Lisinopril 10 mg po qd. ,3
Atenolol 25 mg qd,3
"lisinopril, 20mg q.d",3
atenolol 25mg q.d,3
lisinopril 20mg q.d,3
HCTZ 25 q.d,3
atenolol 100q.d,3
lisinopril 40 q.d.,3
lisinopril 40 mg q.d.,3
Lipitor q.d.,3
Lipitor 10 q.d.,3
atenolol 75 q.d.,3
atenolol 75 mg q.d,3
lisinopril 20 mg,3
enalapril 10 mg,3
enalapril ,3
Humulin 70/35 units,3
Humulin 70/35,3
Lopid 600 mg daily,3
losartan 50 mg,3
Lisinopril 40mg daily,3
Lipitor 20mg qhs,3
ASA 81mg daily,3
Gemfibrozil 300mg bid,3
Toprol XL 50mg daily,3
Lisinopril 40 MG PO QD,3
Simvastatin 20 MG ,3
Acetylsalicylic Acid 81 MG,3
Amlodipine 10 MG,3
Insulin L,3
patient on 70/30 at home,3
aspart,3
Lisinopril 40 mg p.o. daily,3
Simvastatin 20 mg p.o. bedtime,3
Aspirin 81 mg p.o. daily.,3
Amlodipine 10 mg p.o. daily.,3
Insulin Lispro mix 75/25 12 units,3
Insulin Lispro mix 75/25 25 units,3
 Insulin Lispro mix 75/25,3
etoprolol ,3
Metoprolol succinate extended release 150 mg p.o. daily.,3
aspirin 81mg qd,3
  aspirin,3
metformin 850mg bid,3
fluvastatin 20 mg daily,3
Aspirin 81 mg p.o. daily,3
Glucophage 850 mg b.i.d.,3
LISINOPRIL   10MG TABLET take 1 Tablet(s) PO QD,3
METFORMIN   850 MG (850MG TABLET take 1) PO TID,3
Dyazide  (TRIAMTERENE 37.5 Mg/hydrochlorthiazide 25 Mg),3
GLYBURIDE   5 MG (5MG TABLET take 1) PO BID  ,3
ATENOLOL   25MG TABLET take 1 Tablet(s) PO QD ,3
Lisinopril 10MG TABLET take 1 Tablet(s) PO QD,3
Lipitor (ATORVASTATIN) 10MG TABLET take 1 Tablet(s) PO QD,3
Metformin 850 MG (850MG TABLET take 1) PO TID,3
Dyazide (,3
Dyazide (TRIAMTERENE 37.5 MG/HYDROCHLORTHIAZIDE 25 MG) 1 CAPSULE PO QD,3
Glyburide 15 MG (5MG TABLET take 3) PO QD,3
Atenolol 25MG TABLET take 1 Tablet(s) PO QD,3
Asa 325 qd,3
Verapamil 40 tid,3
Glyburide 5 qd,3
Aspirin 325 QD,3
Verapamil 60mg TID,3
Glybyride ,3
Glybyride 5mg QD,3
Lisinopril 10 MG PO QD,3
Pravastatin 10mg daily,3
Verapamil Hcl SR 180 MG PO daily,3
lipitor 20 qd,3
glucophage 1000 bid,3
toprol xl 100 qd,3
avalide,3
avalide 300/12.5 qd,3
Lipitor 20 mg p.o.,3
aspirin 81 mg p.o.,3
Toprol-XL 125 mg p.o,3
Avapro 300 mg p.o,3
lipitor 40,3
.Increase glargine ,3
toprol 200,3
Lisinopril 20 MG,3
metformin 850 ,3
metformin 850 mg daily,3
Labetalol Hcl 300 MG,3
Crestor 20 mg a day,3
aspirin 81 mg a day,3
Plavix 75 mg a day,3
nifedipine 90 mg a day,3
Zetia 10 mg a day,3
metoprolol 25 mg a day,3
GLYBURIDE   5MG  1 Tablet(s) PO QD ,3
COZAAR ,3
COZAAR (LOSARTAN)   50MG  1 Tablet(s) PO QD  ,3
Glyburide 5 mg PO QD,3
cozaar 50 mg BID,3
Cozaar 50 mg PO BID (only taking 50 QD),3
HCTZ 25 mg PO QD,3
HCTZ 25 mg QD.,3
"GLYBURIDE 5MG, 1 Tablet(s) PO QD ",3
"Cozaar (LOSARTAN) 50MG, 1 Tablet(s) PO bid",3
"Aspirin (CHILDRENS) (ACETYLSALICYLIC Aci... 81MG, 1 Tablet(s) PO QD",3
"GLYBURIDE 5MG, 1 Tablet(s) PO QD",3
"Cozaar (LOSARTAN) 50MG, 2 Tablet(s) PO QD",3
"ATENOLOL 50MG, 1 Tablet(s) PO QD x 30 day(s)",3
Atenolol to 50 mg QD,3
"Asa (ACETYLSALICYLIC Acid) 325MG, 1 Tablet(s) PO QD",3
"Cozaar (LOSARTAN) 100MG, 1 Tablet(s) PO QD",3
SIMVASTATIN 20 MG QHS,3
ASA 325MG QD,3
Hctz 25 MG QD ,3
Insulin 70/30 80 qam 70 qpm (recently increased) ,3
Losartan 100MG QD ,3
Asa (ACETYLSALICYLIC ACID) 325MG TABLET take 1 Tablet(s) PO QD ,3
Humalog (INSULIN LISPRO),3
 ATENOLOL ,3
ASA       PO ,3
ASA  ,3
ATENOLOL   25 MG PO QD,3
vasotec 20 b.i.d.,3
chlorpropamide 250 b.i.d.,3
"HYDROCHLOROTHIAZIDE 25MG, 1 Tablet(s) PO QD",3
"Lopid (GEMFIBROZIL) 600MG, 1 Tablet(s) PO QPM x 30 day(s)",3
"Lopressor (METOPROLOL Tartrate) 12.5MG, 1 Tablet(s) PO BID x 30 day(s)",3
DIOVAN 80 mg PO QD,3
Metformin 500 MG,3
Metformin 500mg bid,3
Bisoprolol 5mg qd,3
"Bisoprolol 5mg qd, which replaced Lopressor ",3
Diovan 160mg,3
Zestril 10mg qd,3
atenolol 25mg po qd,3
atenolol 25qd,3
Zestril 40mg po daily,3
Lipitor 20mg po daily-,3
Glucophage 1000 mg po bid,3
Lantus SoloStar Pen 10 units sc at bedtime,3
insulin sliding scale for coverage,3
atenolol 50mg po daily,3
PRINIVIL (LISINOPRIL)  ,3
 lopressor,3
 Prinivil,3
Prinivil (LISINOPRIL) ,3
Glucovance (GLYBURIDE/METFORMIN),3
Cardizem Cd (DILTIAZEM Cd (24 Hr Caps)),3
Glucovance (Glipizide 5mg/Metformin 500mg) ,3
Prinivil (Lisinopril)  40 MG PO BID,3
Hydralazine Hcl  50 MG PO QID,3
Simvastatin (Zocor)   80 MG PO QHS,3
Acetylsalicylic Acid (Aspirin)   81 MG PO DAILY,3
Amlodipine (Norvasc )  12.5 MG PO DAILY,3
Insulin Regular Inj  Sliding scale SC ,3
Labetalol Hcl  300 MG PO BID,3
 hydrochlorothiazide ,3
lisinopril 45mg,3
simvastatin 20mg qpm,3
asa 81mg ,3
metoprolol 25mg bid,3
metformin 500mg bid,3
hctz 25mg,3
insulin NPH 18units qam,3
insulin regular SS qam/qsupper,3
Lisinopril 2.5mg QD,3
 Simvastatin ,3
Simvastatin 10mg QHS ,3
Plavix 75mg QD,3
Metformin 850mg tid,3
Glyburide 2.5mg QD,3
Atenolol 25mg QD,3
lisinopril 2.5 mg QD,3
lisinopril 2.5 mg   QD,3
Zocor 10 mg QHS,3
Zocor 10 mg   QHS,3
aspirin 325 mg QD,3
 aspirin 325 mg   QD,3
metformin hydrochloride 850 mg TID,3
metformin hydrochloride 850 mg   TID,3
 metformin ,3
glyburide 2.5 mg QD,3
glyburide 2.5 mg   QD,3
atenolol 25 mg QD,3
atenolol 25 mg   QD,3
Lisinopril 2.5 mg,3
Zocor 10 mg,3
ASA 81 mg,3
metformin 850 mg,3
glyburide 2.5 mg,3
atenolol 25 mg,3
glucophage 500 mg qd,3
GLUCOPHAGE (METFORMIN) ,3
ZESTORETIC ,3
zestoretic 20/25 qd,3
 LIPITOR (ATORVASTATIN) ,3
ASPIRIN (ACETYLSALICYLIC ACID),3
glucophage XR 500 mg qd,3
GLUCOPHAGE XR (METFORMIN XR) ,3
zestoretic 20/25 bid,3
 MICRONASE (GLYBURIDE) ,3
LIPITOR (ATORVASTATIN)  40MG PO QD,3
INSULIN NPH HUMAN  25UNITS SC QHS,3
glyburide 10 mg bid,3
Lisinopril  20 MG PO QD,3
Atorvastatin (Lipitor)   20 MG PO QD,3
Acetylsalicylic Acid (Aspirin)   81 MG PO QD,3
Amlodipine (Norvasc)   5 MG PO QD,3
 Insulin Nph,3
Atenolol  100 MG PO QD,3
Simvastatin  20 MG PO QD,3
Acetylsalicylic Acid (Aspirin)  325 MG PO ,3
Clopidogrel (Plavix)  75 MG PO QD,3
Metformin  500 MG PO TID,3
Glipizide  2.5 MG PO QD,3
Pioglitazone ,3
Pioglitazone (Actos)  30 MG PO QD,3
Atenolol  50 MG PO QD,3
Monopril 40 mg q.d,3
Dyazide 1 q.d.,3
Glynase 3 mg q.a.m,3
Glucophage 500 mg q.p.m,3
Lipitor 10mg qhs,3
Glyburide 2.5 mg qd,3
Cozaar 25mg qd,3
Lipitor (ATORVASTATIN) 20 MG (20MG TABLET take 1) PO QD,3
Asa (CHILDRENS) 81MG PO QD ,3
Glyburide 2.5 MG (5MG TABLET take 1) PO QD  ,3
Cozaar (LOSARTAN) 25 MG (25MG TABLET take 1) PO BID,3
ZESTRIL (LISINOPRIL)   5MG  1 Tablet(s) PO QD  ,3
ZOCOR (SIMVASTATIN)   20MG  1 Tablet(s) PO QHS ,3
EC ASA (ASPIRIN ENTERIC COATED)   325MG  1 Tablet(s) PO QD,3
PLAVIX (CLOPIDOGREL) 75 MG     PO QD ,3
GLUCOPHAGE (METFORMIN)   850MG  1 Tablet(s) PO qam  ,3
GLUCOPHAGE (METFORMIN)   500MG  1 Tablet(s) PO qpm  ,3
NORVASC (AMLODIPINE)   10MG  1 Tablet(s) PO QHS  ,3
rosiglitazone,3
LOPRESSOR (METOPROLOL TARTRATE)   50MG  1 Tablet(s) PO TID,3
Zocor 20 qd,3
ASA 325mg QD,3
norvasc 10,3
 norvasc,3
Diltiazem 60mg qd,3
Lipitor 10mg qd ,3
 Metoprolol 50mg qd,3
 requiring insulin since ,3
Zestril 40mg qd,3
Cozaar 50qd,3
simvastatin 20 mg po qhs,3
Aspirin 81 mg po daily,3
Lantus 12 u qhs,3
Humalog scale ac,3
Cozaar 50 mg po BID,3
Simvastatin 20 MG po q hs,3
Aspirin 81 MG PO QD ,3
Humalog SS q AC (approx 20 units),3
Lantus 15 UNITS SC QHS ,3
Lopressor  50 MG  PO BID ,3
HCTZ 25 mg daily,3
gemfibrozi,3
QDNiacin,3
Zestril.,3
hydrochlorothiazide/lisinopril,3
hydrochlorothiazide/lisinopril 25/20,3
hydrochlorothiazide/lisinopril ,3
Lisinopril/hydrochlorothiazide 20MG/25MG,3
lantus/novolog,3
  Zocor ,3
  ASA,3
  Imdur,3
 Nitroquick,3
Nitroquick 0.3mg (NITROGLYCERIN 1/200 (0.3 Mg)),3
 Insulin Regular Human,3
  Toprol ,3
Toprol Xl (METOPROLOL Succinate Extended Release),3
 METFORMIN,3
Rezulin ,3
Rezulin,3
70/30 of Humulin,3
"70/30 of Humulin,",3
 glipizide,3
Actos ,3
Nph,3
kept her on Glyburide,3
NPH HUMULIN INSULIN (INSULIN NPH HUMAN)  15 SC QAM,3
Nph HUMULIN INSULIN,3
insulin sliding scale,3
Reg sliding scale,3
Regular sliding scale,3
Insulin REGULAR HUMAN SC,3
NPH 70/30,3
Insulin 70/30 NPH/Regular 50U BID,3
Insulin 70/30 HUMAN 70-30,3
Insulin 70/30 HUMAN 70-30 U/ML,3
novolog 70/30,3
 Ascorbic Acid  ,3
Aspirin Buffered,3
Verapamil Sustained Release,3
Novolog Mix 70/30,3
Nitroglycerin patch,3
"70/30 insulin,",3
70/30 NovoLog,3
lispro insulin,3
Metoprolol succinate,3
Insulin NPH 20 u qam,3
 Insulin regular 10 u qpm,3
IV lopressor,2
Hold aspirin,2
nitro ,2
d/c glyburide,2
 Isosorbide dinitrate ,2
w/ holding Avandia and metformin. ,2
ISDN,2
start Statin,2
nitroglycerin paste,2
SL nitro,2
add hydrochlorothiazide ,2
sl NTG,2
Baby aspirin.,2
Insulin SS coverage,2
Nitrodur,2
sublingual nitroglycerin ,2
Statin changed to Zetia,2
Ticlid,2
ROSUVASTATIN,2
 TNG,2
beta   blocker,2
Dilatrate-SR,2
Atenenlol,2
nitroglycerin drip,2
 Start metformin,2
NTG paste,2
Insulin 6 units,2
Insulin gtt,2
IV NTG,2
d/c'ed HCTZ,2
nitro paste,2
id not receive Toprol today.  monitor BP. give lopressor IV prn for BP tonight. resume Toprol tomorrow.,2
amilodipine,2
hydrochlorthiazide,2
Metformin 500 MG PO BID,2
Hold metformin,2
Hold HCTZ/ ACE,2
Regular insulins,2
i.  hold antihypertensives (losartan 100mg qd and toprol 100mg qd) in setting of hypotension,2
adding ASA and lipitor,2
Nicardipine,2
diuretic,2
Cont plavix,1
esmolol,1
 put her on ramipril,1
"stop the hydrochlorothiazide,",1
 Cont. po lopressor,1
change to lipitor,1
Lipitor in the past,1
stopped her Lescol,1
atorvastatin and pravastatin in the past.,1
add ACE ,1
CLOPIDOGREL75,1
ATORVASTATIN80,1
Hold atenolol for bradycardia,1
ran out of his clopidogrel ,1
d/c metformin,1
Metformin 500mg PO BID,1
SSI with meals (convert daily usage to NPH),1
dilt (30 mg TID),1
10 U regular insulin now,1
restarted the Gemfibrozil,1
had been taking Lipitor,1
 start metformin,1
 aspirin has been discontinued,1
try him on Leschol,1
Leschol,1
and Lisinopril ,1
Add Norvasc,1
stopped his hydrochlorothiazide,1
Norv,1
 -sliding scale insulin,1
 -d/c Lisinopril,1
"Insulin in past,",1
discontinue hydralazine and Norvasc.,1
SLNG,1
METFORMIN W,1
 Change Procardia XL,1
 to Norvasc,1
Change Procardia XL,1
metformin D/C,1
to Norvasc,1
changed from Cardiazem to Atenolol,1
TNG prn sublingual ,1
Enteric Coated Aspirin,1
Verapamil sr,1
IV Lopressor,1
Verapamil SR ,1
re-start ASA,1
NTG ,1
 glipizid,1
 switched from glyburide,1
Metformin extended release 500 mg p.o. daily will be initiated,1
"hydrochlorothiazide appears to be a new medication for her, and therefore I went ahead and discontinued this ",1
started her on extended-release metoprolol,1
DC Lisinopril,1
start atenolol in a low dose but advised her not to start this for the next few days,1
Nitro x,1
"lantus, humalog, ",1
"off lantus, humalog",1
Hold Metformin precath.,1
 NTG,1
 not to resume the metformin ,1
"February of this year, when the sulfonylurea was replaced with insulin",1
IV lopressor ,1
start Plavix,1
"asa,",1
initiation of an ACE inhibitor,1
an ACE inhibitor,1
ACE ,1
 Pravachol,1
add HCTZ,1
d/c hctz,1
and on an aspirin.,1
start her today on atenolol,1
Initiate Lopressor ,1
NTG x3 ,1
formerly controlled by insulin ,1
 self-  discontinued her lisinopril,1
switching her over to an insulin   regimen starting with b.i.d. NPH,1
restarted her on lipitor,1
 zocor,1
stopped taking her zocor,1
prescribed nitroglycerin,1
add lisinopril,1
holding metformin,1
Nitropaste ,1
 captopril,1
metformin for 48 hours per cath protocol,1
prn sl NTG,1
witching her from verapamil 240  mg daily to atenolol 50 mg daily,1
We also gave her a  prescription for nitroglycerin,1
"ACE-I,",1
Add isordil,1
"nitroglycerin,",1
begun on Lipitor ,1
add captopril,1
 Labetolol ,1
 B blocker as tolerated for elevated BP,1
10/17/66: HCTZ d/c'd,1
 SLNTG,1
 ACE inhibitor,1
Discontinue atenolol,1
stopped Lipitor ,1
 Start captopril,1
Captoril ,1
Start Captoril ,1
nitoglycerin,1
suggest a trial of metformin ,1
along with ACEI ,1
add metformin,1
add metformi,1
 IV nitro,1
hydrochlorothiazide 12.5 mg 1 tab po QD Start: 6/12/2070 End: 01/13/2072 - Inactivated,1
isosorbide mononitrate 60 mg  QAM and 1 half qpm Start: 6/12/2070 End: 01/13/2072 - Inactivated,1
Plavix 75 mg 1 tab po QD Start: 3/3/2070 End: 01/13/2072 - Inactivated,1
valsartan 80 mg  QD Start: 4/24/2070 End: 01/13/2072 - Inactivated,1
 hydrochlorothiazid,1
simvastin,1
gemofibrozil,1
Lantus 55u SC QPM,1
 Aspart 10u SC AC,1
Aspart SS AC + HS,1
Hold sotalol,1
recommending 1 aspirin,1
a beta-blocker,1
Holdng ASA,1
nable to give beta-blockade at the moment due to low BP ,1
insulin drip,1
step-down unit on an insulin drip,1
will have a trial of dyazide,1
beta blocker held ,1
REMOVED    - Toprol XL  75 mg PO BID,1
will use Norvasc ,1
/C it in favor of NPH,1
oral agents were stopped and Lantus begun,1
s/s regular insulin,1
sl TNG,1
 start atorvastatin,1
 IV Lopressor ,1
switch to TriCor,1
 plus amlodipine,1
Start simvastatin ,1
Start simvastatin 40mg,1
 lisinopril 5mg qD to captopril 12.5mg TID,1
sublingual nitroglyceri,1
 increasing Carvedilol,1
 Niacin,1
started on captopril,1
start Niaspan,1
stop Plavix ,1
"hold metformin, in case cath required",1
 start him       off on simvastatin,1
used to use diltiazem,1
 initiate therapy with diltiazem,1
 Statin,1
 Zetia ,1
been on Captopril earlier,1
  Will treat with Lipitor,1
Will use isordil 10 mg po tid while inpatient,1
add zetia,1
add plavix,1
hold Cartia XT and Altace ,1
Diuretics,1
a SL TNG,1
been held as had her Actos,1
 Lipitor had been held,1
 glucophage with excellent control- d/c'd 10/91,1
low dose glucophage,1
 glucophage with excellent control- d/c'd,1
glucophage with excellent control- d/c'd 10/91 ,1
try Niaspan,1
initiate treatment with Tricor,1
initiate lisinopril,1
Add dyazide,1
 Add dyazide ,1
 dyazide,1
 nitroglycerine,1
patient took a nitro ,1
"discontinued all beta blockers, ",1
discontinued all beta blockers,1
D/Ced his HCTZ ,1
insulin scale as needed.,1
Imdur ER,1
 metoprolol succinate,1
 stopped the novolog,1
Will try Imdur 30 QD,1
diovan ,1
discontinued using immediate release Nifedipine,1
 Nitroglycerin ,1
switched her from Zocor ,1
isosorbide dinitrate   ,1
Insulin pump    ,1
" add an ACE inhibitor.  Accordingly, lisinopril 2.5 mg QD was added to her program.",1
started her on atenolol,1
- Avandia  8 mg daily,1
clopidogrel bisulfate  75 mg daily,1
Removed - lisinopril ,1
started pt on zocor,1
taken off HCTZ,1
treated with beta   blocker ,1
D/C Metformin at last visit,1
IV nitroglycerin,1
not been taking lipitor for several weeks,1
 discontinued isordil recently. ,1
begin Simvastatin ,1
Started on trans-   derm nitro,1
given an aspirin,1
"cont Lipitor, Atenolol, Lisinopril/HCTZ",1
"cont Lipitor, Atenolol, Lisinopril/HCTZ ",1
Humulin 70/30 cut in half to 50 in am and 30 in pm for now.  ,1
"Restart  Atenolol at 25 qd,",1
"cont ASA, statin",1
Cont Lipitor,1
Cont glucophage ,1
Cont Zestoretic,1
Cont ASA,1
incr in Atenolol,1
Insulin REGULAR ,1
held her aspirin,1
"held her aspirin and her Imdur,",1
no longer takes the verapamil,1
Will switch back to Cozaar.,1
Avandia (ROSIGLITAZONE) ,1
Ezetimibe And Simvastatin (Vytorin) ,1
uses NTG rarely,1
was on zocor,1
intravenous Lopressor,1
 change to ACE-i given benefits in prevention for both CAD and renal protection  starting with lisinopril 10 d and work up ,1
holding metformin),1
metformin),1
Hold antihypertensive,1
hold his glyburide ,1
Plavix was discontinued,1
atenolol 25mg po bid QTY:180 Refills:3 Start: 3/25/2087 End: 12/31/2092 - Inactivated,1
Beta blockers,1
Beta blockers.,1
SL NG,1
 SL NG,1
Start captopril,1
beta blocker ,1
nitro drip,1
"nitro paste,",1
sublingual   nitroglycerine,1
IV nitroglycerine drip,1
start glyburide,1
Lopressor.,1
insulin  ,1
"Lopressor,",1
nitroglycerine SL,1
ASA 325,1
 intravenous nitroglycerin,1
sliding scale insulin prn,1
FENOFIBRATE ,1
Insulin 4 units sc x1 ,1
ACE (Zestril x1),1
 Insulin SS,1
Insulin 6 units.,1
12 units of NPH.,1
 simvastatin ,1
Insulin gtt protocol,1
Novolog SS ,1
Insulin gtt off at present,1
regular insulin gtt protocol,1
 ACE-I (?ramipril),1
ACE-I (?ramipril) has  been held,1
NTG sl,1
"taken off ASA, plavix",1
"MICU insulin protocol,",1
o LISINOPRIL (ZESTRIL )  40 MG PO  QD    Last Dose Given:  10/24/96 at 08:00 am ,1
o AMLODIPINE (NORVASC )  5 MG PO  QD    Last Dose Given:  10/24/96 at 08:00 am ,1
o SIMVASTATIN (ZOCOR )  20 MG PO  QHS    Last Dose Given:  10/24/96 at 08:00 am ,1
o INSULIN NPH HUMAN  10 UNITS SC  QAM BEFORE BREAKFAST    Last Dose Given:  10/24/96 at 08:00 am ,1
INSULIN REGULAR HUMAN  Sliding Scale  If BS &lt;=    200 give 0 Units ;  For BS from 201  to 250 give 4 Units ;  For BS from 251  to 300 give 6 Units ;  For BS from 301  to 350 give 8 Units ;  For BS from 351  to 400 give 10 Units ;  For BS &gt; 400 give 12 Units and Call House MD ;   SC  QID (AC + HS)    Last Dose Given:  10/24/96 at 12:00 pm ,1
o CLOPIDOGREL (PLAVIX )  75 MG PO  QD    Last Dose Given:  10/24/96 at 08:00 am ,1
o METOPROLOL SUCCINATE EXTENDED RELEASE (TOPROL XL )  400 MG PO  QD  &lt;DI&gt;   ,1
changing him from lopressor 200 bid to toprol,1
started him on ramipril 2.5 mg today,1
switched to atenolol ,1
switch to rosuvastatin ,1
rosuvastatin,1
niacin in the past,1
switch to prasugrel,1
restarting ASA,1
 sublingual nitroglycerine,1
nitroglycerin   tablets,1
 begin lopid ,1
changes lipitor to lopid.,1
discontinue her Accupril,1
lasix,1
IV insulin infusion,1
CZI drip,1
Insulin gtt ,1
labetolol ,1
daily ASA,1
sublingual  nitroglycerin,1
Aspirin (ACETYLSALICYLIC ACID) ,1
low-dose Lopressor,1
"20 mg without significant response, followed by 40  mg ID",1
20 mg,1
40  mg ID,1
diltiazem overnight,1
She should get an oral dose of  diltiazem overnight,1
metoprolol dose,1
Has been off HCTZ,1
novulin,1
novulog,1
start on a small dose of a beta-blocker,1
 enteric-coated aspirin ,1
aspirin 81 mg,1
Labetolol ,1
Lipitor D/C'd today,1
 Zaroxolyn,1
Start Lisinopril,1
stop the Norvasc ,1
stop her Actos,1
Hunulin,1
"Captopril,",1
Nitros,1
Atenolol 7,1
 She should continue on BB,1
labetalol ,1
replacing labetalol with metoprolol ,1
Lantus and Novolog Insulin,1
"Pravachol was therefore stopped, restarted, and stopped again",1
Diltiazem ER ,1
Would start Labetolol,1
"Glucophage,",1
Start NPH,1
but this is also off his lisinopril,1
 Start Lopressor ,1
Timolol ,1
Beta blocker drops ,1
start her on  Glucophage,1
will start her on  Glucophage,1
stopped amilodipine,1
increase atenolol to 100,1
Stop HCTZ,1
verapimil,1
Propranolol Hcl (Inderal )  60 MG PO QID,1
Plavix 75 mg QD,1
"given some insulin and a Rx for insulin,",1
does not take HCTZ,1
zocor was stopped in hospital,1
"metformin was d/c'd,",1
d/c cozaar,1
Change from ASA to Aggrenox ,1
70/30 Novolog,1
change regular insulin sliding scale to humalog ,1
cholesterol med ,1
add hctz/lisinopril,1
hctz/lisinopril,1
Sitagliptin,1
Sitagliptin (Januvia),1
Switch Atenlol to metoprolol ,1
Discontinue metformin,1
"Discontinue lisinopril, valsartan",1
Valsartan (Diovan),1
start ECASA,1
Humalog SS,1
 BB,1
Toprol Xl 2,1
adding Toprol Xl,1
begin a course of atorvastatin,1
lisinopril to 30mg q.d,1
no longer taking the hydrochlorothiazide ,1
resume his hctz,1
10 mg of labetalol IV,1
100 mg of labetalol p.o,1
 labetalol ,1
beta blockade,1
 start low-dose beta blockade,1
atenolol to 25mg BID,1
Regular insulin ,1
Give new sliding scale,1
Unclear when metformin was discontinued.,1
glargine,1
"d/c lisinopril, start Cozaar 50 mg daily",1
Lisinopril 2,1
was on insulin,1
ASA 325 mg qd recommended,1
Cozaar dose to 50 bid,1
"HCTZ 25 mg PO QD (added 9/82, not taking) ",1
insulin SS,1
Lipitor rx. ,1
stopped nifedipine ,1
nifedipine ,1
Rx Benicar,1
 Benicar,1
Stopped cozaar,1
Zocor (SIMVASTATIN) 20 MG (20MG TABLET take 1) PO QHS x 30 days,1
Losartan 50 MG (100MG TABLET take .5) PO QD,1
 Hydrochlorothiazide was stopped,1
Zestril 20mg ,1
Plavix; Dir: Stopped because of ecchymosis and epistaxis -stop,1
 Plavix;,1
25 units NPH,1
transition him to insuline with 25 units NPH ,1
glucophage was stopped,1
 glucophage,1
